Year,0 to 3 ft,3 to 10 ft,10 to 16 ft,16 ft to 3P,3P
1997,0.286,0.178,0.163,0.213,0.159
1998,0.266,0.188,0.155,0.223,0.168
1999,0.256,0.188,0.161,0.228,0.167
2000,0.273,0.168,0.158,0.232,0.17
2001,0.287,0.148,0.153,0.23,0.181
2002,0.286,0.15,0.146,0.236,0.182
2003,0.297,0.147,0.141,0.229,0.187
2004,0.304,0.135,0.129,0.236,0.196
2005,0.309,0.133,0.119,0.236,0.202
2006,0.314,0.131,0.113,0.229,0.213
2007,0.308,0.124,0.111,0.235,0.222
2008,0.314,0.124,0.111,0.227,0.224
2009,0.32,0.129,0.11,0.218,0.222
2010,0.276,0.178,0.11,0.214,0.222
2011,0.287,0.169,0.11,0.208,0.226
2012,0.293,0.164,0.107,0.193,0.243
2013,0.286,0.169,0.105,0.18,0.259
2014,0.29,0.164,0.103,0.175,0.268
2015,0.293,0.158,0.103,0.162,0.285
2016,0.29,0.152,0.099,0.142,0.316
2017,0.281,0.156,0.106,0.12,0.337
2018,0.292,0.162,0.096,0.092,0.359
2019,0.282,0.165,0.093,0.077,0.384
2020,0.254,0.186,0.096,0.072,0.392